fecha      hora     lat    lon      dep    edep  gap  rms  ml   mc   mw  comentario
2018-01-01 04:38:11 20.372 -70.593  22.0   77.1  249  0.9  2.5  3.6  3.3 65.8Km al NE de Luperon, Oceano Atlantico.
2018-01-01 23:30:40 18.467 -70.414  31.0   15.8  168  0.4  2.3  3.2  3.5 22.4Km al NNO de Bani, Peravia.
2018-01-02 09:15:22 19.201 -68.364  19.6  103.9  189  1.5  3.5  3.7  3.7 76.0Km al ENE de Miches, Oceano Atlantico.
2018-01-02 13:48:15 18.878 -68.248  17.9  210.0  205  0.8  2.1  2.9  2.5 85.1Km al Este de Miches, Oceano Atlantico.
2018-01-02 20:39:31 18.997 -75.799  15.0   18.1  150  1.1  3.1  3.4  3.4 Distante.
2018-01-03 05:14:24 18.474 -69.083 108.5   10.7  125  1.1  2.6  3.5  3.4 12.4Km al ONO de La Romana, La Romana.
2018-01-03 19:32:25 19.779 -69.078  41.3   20.4  312  0.5  2.1  2.9  2.7 56.5Km al NNE de Las Galeras, Oceano Atlantico.
2018-01-04 17:23:22 19.784 -71.518  19.7    9.0  166  0.3  2.6  2.8  3.1 8.1Km al NNO de Castanuela, Montecristi.
2018-01-05 08:39:11 17.929 -71.321  10.9   22.9  266  0.8  2.1  3.0  2.9 9.9Km al ONO de Enriquillo, Barahona.
2018-01-07 01:47:00 20.057 -70.659  22.8  262.9  214  1.0  3.0  3.6  3.4 30.2Km al Norte de Puerto Plata, Oceano Atlantico.
2018-01-07 09:30:48 18.488 -71.389  12.1   12.2  104  0.6  2.3  2.5  2.6 3.1Km al Este de Neiba, Bahoruco.
2018-01-08 04:41:47 19.210 -69.855  19.8   13.1   83  0.8  2.9  3.3  3.6 2.5Km al NNE de Arenoso, Duarte.
2018-01-08 18:53:27 20.124 -70.893 126.6   24.9  240  0.9  2.8  3.5  3.2 26.8Km al NNE de Luperon, Oceano Atlantico.
2018-01-08 18:54:48 20.373 -70.572  17.1  176.9  259  0.7  2.6  3.0  --- 66.3Km al Norte de Puerto Plata, Oceano Atlantico.
2018-01-08 23:28:07 20.220 -70.895  19.9   46.4  239  0.5  3.0  3.5  3.5 37.2Km al NNE de Luperon, Oceano Atlantico.
2018-01-09 15:04:03 18.334 -73.343  19.3   62.4  213  0.5  2.7  3.4  3.3 158.4Km al Oeste de Jimani, Region Haiti.
2018-01-09 16:29:31 18.850 -67.950  16.7  174.2  206  0.6  2.4  3.1  2.6 55.6Km al ENE de Punta Cana, Canal de la Mona.
2018-01-09 17:04:46 18.875 -70.135   6.5   22.8  166  0.5  2.0  3.4  2.9 20.1Km al Este de Cotui, Sanchez Ramirez.
2018-01-09 18:46:48 18.480 -72.599  12.1   29.3  183  0.9  2.7  3.4  3.3 78.9Km al Oeste de Jimani, Region Haiti.
2018-01-09 18:51:19 19.074 -70.713  66.2   37.9  129  1.2  2.0  2.5  2.4 9.3Km al OSO de Jarabacoa, La Vega.
2018-01-10 22:07:00 17.971 -71.321  20.7   21.3  216  0.5  2.1  2.8  2.9 12.2Km al NO de Enriquillo, Barahona.
2018-01-11 03:13:52 17.837 -69.111  15.0   46.5  257  0.9  2.9  3.4  3.1 51.6Km al SO de Mano Juan Isla Saona, Mar Caribe.
2018-01-11 18:06:41 18.988 -70.199   6.9   13.6  213  0.4  2.0  3.0  2.8 9.2Km al SO de Cotui, Sanchez Ramirez.
2018-01-12 17:40:25 19.046 -70.159  12.8    9.7  136  0.2  2.1  2.8  3.3 1.6Km al SO de Cotui, Sanchez Ramirez.
2018-01-13 15:25:39 18.633 -69.804 136.9   13.3   99  0.8  2.7  3.1  3.3 19.7Km al Este de Monte Plata, Monte Plata.
2018-01-14 04:07:17 18.819 -70.272  92.6   11.3   94  0.8  3.2  3.3  3.3 9.7Km al Este de Maimon, Monseñor Nouel.
2018-01-14 16:31:11 19.801 -70.846  11.4   41.2  215  0.5  3.5  3.6  3.5 5.4Km al NNO de Imbert, Puerto Plata.
2018-01-15 01:48:01 17.445 -68.138  98.3   23.3  255  0.7  2.7  3.3  3.2 98.6Km al Este de Mano Juan Isla Saona, Mar Caribe.
2018-01-15 18:21:51 18.858 -70.048  71.6   18.0  169  0.9  2.1  3.1  2.7 9.8Km al NNO de Yamasa, Monte Plata.
2018-01-16 02:31:27 18.688 -67.440  31.1   26.5  196  0.8  2.7  3.1  3.1 101.7Km al Este de Punta Cana, Canal de la Mona.
2018-01-16 05:22:02 18.400 -73.601  40.0  155.7  167  0.8  3.4  3.5  --- 184.9Km al Oeste de Jimani, Region Haiti.
2018-01-16 09:07:39 19.097 -71.480  71.7   15.5  169  0.8  2.5  3.0  2.8 25.2Km al Norte de Las Matas de Farfan, San Juan de la Maguana.
2018-01-16 10:37:26 19.131 -71.411  74.2   15.0  158  0.8  2.5  3.0  2.9 30.1Km al Este de Pedro Santana, Elias Pina.
2018-01-16 20:20:03 19.287 -73.046  31.1   56.6  152  0.5  3.3  3.8  3.7 141.8Km al Oeste de Restauracion, Golfo de Gonaive.
2018-01-17 09:02:18 19.333 -72.994  19.9   50.5  167  0.7  2.6  3.4  3.3 136.4Km al Oeste de Restauracion, Golfo de Gonaive.
2018-01-17 11:39:31 19.160 -68.418  18.4   56.9  197  0.8  2.3  3.1  2.8 69.2Km al ENE de Miches, Oceano Atlantico.
2018-01-17 13:46:13 19.060 -74.063 211.5   34.0  197  1.3  3.3  4.0  3.7 269.3Km al ONO de Pedernales, Mar Caribe.
2018-01-17 15:56:11 19.301 -72.960  17.5  131.6  147  0.8  2.5  3.3  3.0 132.8Km al Oeste de Restauracion, Golfo de Gonaive.
2018-01-18 13:05:24 19.585 -71.197  19.6   28.2  117  0.9  2.1  2.8  2.6 22.9Km al Este de Guayubin, Montecristi.
